bounds_fid,city_label,country,n_nodes,mean_demand,mean_supply,mean_transport_gap,pct_gap_nodes,pct_critical_gap
379,Küsnacht (ZH),CH,2559,0.45,0.64,-0.18,9.07,5.78
5,Lahti,FI,14730,0.32,0.71,-0.39,7.91,4.39
226,Rzeszów,PL,28013,0.38,0.54,-0.17,6.92,3.69
544,Grosseto,IT,6365,0.43,0.36,0.26,6.66,3.33
424,Zagreb,HR,59496,0.41,0.73,-0.32,7.72,3.33
585,Anzio,IT,11054,0.26,0.46,-0.15,5.98,2.89
538,Vila do Conde,PT,7915,0.45,0.70,-0.24,6.17,2.87
471,Carpi,IT,6372,0.47,0.52,0.07,6.61,2.72
620,Sassari,IT,10569,0.31,0.50,-0.05,6.45,2.69
676,Bahía de Cádiz,ES,3864,0.53,0.81,-0.28,9.60,2.64
41,Gdynia,PL,20969,0.41,0.63,-0.20,6.47,2.48
545,Gulpilhares e Valadares,PT,9161,0.32,0.73,-0.42,5.22,2.15
449,Venezia,IT,6764,0.28,0.69,-0.42,8.09,2.14
607,Caserta,IT,19095,0.44,0.45,0.06,4.78,2.13
437,Gallarate,IT,17720,0.42,0.54,-0.07,3.97,1.97
417,Valea Voievozilor,RO,4033,0.45,0.43,0.06,4.41,1.88
645,Casteddu/Cagliari,IT,22658,0.42,0.66,-0.22,3.49,1.84
681,Acireale,IT,13455,0.35,0.56,-0.14,3.70,1.77
4,Tampere,FI,51364,0.32,0.75,-0.43,5.23,1.77
622,Taranto,IT,6216,0.30,0.56,-0.23,4.91,1.75
116,Amersfoort,NL,23633,0.48,0.75,-0.25,5.00,1.74
672,Trapani,IT,6191,0.50,0.63,-0.04,6.12,1.62
112,Soest,NL,10119,0.43,0.63,-0.17,3.84,1.58
12,Langhus,NO,144167,0.28,0.72,-0.43,3.88,1.55
147,Lublin,PL,46241,0.43,0.76,-0.32,5.58,1.52
665,Reggio di Calabria,IT,9262,0.22,0.81,-0.59,3.29,1.51
26,Partille,SE,88421,0.34,0.72,-0.37,4.50,1.50
199,Cotta,DE,72119,0.39,0.72,-0.33,4.74,1.40
368,Basel,CH,56141,0.35,0.71,-0.35,2.35,1.38
79,Stadtgebiet Bremen,DE,56584,0.40,0.71,-0.30,4.72,1.35
452,Padova,IT,29710,0.38,0.73,-0.33,2.83,1.32
336,Leonding,AT,35245,0.39,0.74,-0.35,4.14,1.25
126,Nieuwegein,NL,22826,0.50,0.73,-0.21,5.25,1.16
346,Schwabing-Freimann,DE,161050,0.38,0.64,-0.26,4.29,1.15
207,Bergisch Gladbach,DE,98627,0.38,0.71,-0.32,3.93,1.13
488,Zadar,HR,7459,0.47,0.75,-0.28,4.46,1.11
619,Salerno,IT,8190,0.24,0.57,-0.27,4.90,1.03
7,Helsinki,FI,200311,0.34,0.75,-0.41,3.79,1.02
338,Neusäß,DE,49303,0.43,0.73,-0.30,4.36,1.02
180,Kielce,PL,28072,0.41,0.77,-0.36,5.31,0.97
304,Neureut,DE,38995,0.36,0.69,-0.33,4.45,0.96
118,Mitte,DE,28840,0.39,0.71,-0.32,3.28,0.94
477,Modena,IT,14782,0.44,0.81,-0.36,4.06,0.92
113,Apeldoorn,NL,25966,0.49,0.72,-0.22,3.93,0.91
543,Gulpilhares e Valadares,PT,2462,0.48,0.75,-0.27,2.97,0.89
281,Innenstadt/Jungbusch,DE,60796,0.29,0.74,-0.44,3.29,0.88
428,Lecco,IT,7149,0.37,0.60,-0.17,2.07,0.87
120,Utrecht,NL,42080,0.45,0.75,-0.29,3.65,0.84
509,Montpellier,FR,38538,0.32,0.73,-0.40,5.46,0.84
259,Praha,CZ,126921,0.35,0.74,-0.39,3.88,0.79
206,Erfurt,DE,24878,0.39,0.68,-0.29,5.24,0.76
483,Ravenna,IT,8922,0.48,0.71,-0.21,5.62,0.76
245,Kraków,PL,95755,0.38,0.74,-0.35,3.92,0.74
179,Krefeld-West,DE,23390,0.35,0.72,-0.36,3.02,0.74
523,Livorno,IT,12718,0.23,0.75,-0.52,1.78,0.73
20,Stokka,NO,42068,0.43,0.73,-0.30,4.00,0.71
347,VVG der Gemeinde Gundelfingen,DE,27664,0.40,0.68,-0.26,3.33,0.70
319,Trnava,SK,8631,0.43,0.76,-0.33,4.46,0.70
75,Groningen,NL,23089,0.41,0.75,-0.34,3.74,0.67
571,Roma,IT,4051,0.28,0.80,-0.52,1.88,0.67
271,Olomouc,CZ,14636,0.38,0.75,-0.37,4.84,0.64
110,Hengelo,NL,15878,0.48,0.71,-0.21,3.77,0.61
18,Tartu linn,EE,16226,0.31,0.76,-0.44,4.63,0.61
184,Antwerpen,BE,45577,0.38,0.73,-0.34,3.65,0.61
203,Sittard,NL,17011,0.47,0.65,-0.17,2.67,0.60
430,Varese,IT,11828,0.37,0.67,-0.29,2.37,0.59
74,Lüneburg,DE,13016,0.47,0.76,-0.29,3.83,0.58
171,Oostende,BE,11225,0.36,0.72,-0.36,2.16,0.58
464,Piacenza,IT,7434,0.41,0.64,-0.18,4.43,0.58
3,,,18996,0.39,0.74,-0.35,3.36,0.56
23,Huskvarna,SE,16129,0.36,0.74,-0.38,3.57,0.56
25,Latgales apkaime,LV,79716,0.38,0.74,-0.36,4.12,0.53
643,Eivissa,ES,6580,0.31,0.72,-0.38,3.21,0.52
35,Vallkärra by,SE,20130,0.49,0.77,-0.28,4.50,0.51
55,Ortsbeirat 14 : Stadtmitte,DE,15070,0.40,0.63,-0.23,3.07,0.50
274,Höchberg,DE,23449,0.36,0.75,-0.38,2.98,0.49
122,Gouda,NL,11437,0.42,0.75,-0.32,5.04,0.49
172,Antwerpen,BE,8201,0.42,0.69,-0.25,2.59,0.49
632,Mérida,ES,6589,0.44,0.75,-0.25,2.75,0.49
277,Caen,FR,30331,0.39,0.80,-0.40,3.23,0.47
497,Бургас,BG,5922,0.48,0.77,-0.28,5.22,0.47
358,Tours,FR,36218,0.41,0.78,-0.37,3.66,0.47
138,Rotterdam,NL,96447,0.40,0.73,-0.32,3.52,0.47
235,Namur,BE,10588,0.34,0.76,-0.41,2.51,0.45
0,,,26734,0.33,0.75,-0.42,2.75,0.45
182,Vellmar,DE,29729,0.42,0.70,-0.29,3.36,0.45
201,Halle-Vilvoorde,BE,12165,0.33,0.72,-0.38,2.85,0.44
65,Hamburg-Mitte,DE,167289,0.38,0.75,-0.37,3.27,0.44
272,Plzeň,CZ,17136,0.43,0.73,-0.31,2.96,0.44
300,České Budějovice,CZ,14501,0.36,0.73,-0.37,3.71,0.43
15,Sjöberg,SE,159773,0.36,0.75,-0.39,2.88,0.42
455,Bordeaux,FR,87059,0.33,0.77,-0.44,2.89,0.42
6,Turku,FI,40855,0.32,0.77,-0.45,2.94,0.41
425,Osijek,HR,9030,0.41,0.72,-0.30,3.06,0.41
39,Klampenborg,DK,146871,0.28,0.75,-0.47,2.73,0.41
13,Västerås,SE,23309,0.43,0.71,-0.28,1.98,0.40
46,Gdańsk,PL,77821,0.37,0.75,-0.37,3.36,0.39
77,Wardenburg,DE,29310,0.44,0.75,-0.30,3.31,0.39
193,Nord,DE,27248,0.41,0.75,-0.34,3.02,0.38
409,Rudicica,RO,26579,0.38,0.71,-0.33,3.51,0.38
365,Baciu,RO,24026,0.30,0.73,-0.40,3.33,0.37
378,Bourges,FR,11542,0.42,0.78,-0.36,2.55,0.37
633,Κατσικάς,GR,10528,0.39,0.65,-0.21,2.24,0.37
127,Veenendaal,NL,11302,0.45,0.67,-0.19,3.21,0.35
324,Strasbourg,FR,44889,0.36,0.76,-0.39,3.15,0.35
220,Aachen,DE,28478,0.31,0.76,-0.44,1.87,0.35
38,Malmö,SE,35148,0.44,0.76,-0.31,2.79,0.35
284,Zirndorf,DE,69011,0.33,0.74,-0.40,2.87,0.35
71,Toruń,PL,36275,0.41,0.76,-0.35,3.12,0.34
570,Roma,IT,145513,0.30,0.79,-0.48,2.42,0.33
550,Pescara,IT,24110,0.23,0.77,-0.53,1.31,0.33
64,Szczecin,PL,36578,0.35,0.74,-0.39,2.70,0.31
399,Szeged,HU,15359,0.36,0.76,-0.39,2.87,0.31
526,Arezzo,IT,6826,0.39,0.63,-0.21,2.45,0.31
415,Udine / Udin,IT,13031,0.43,0.79,-0.36,1.87,0.31
140,Münster-Mitte,DE,25690,0.42,0.77,-0.34,2.43,0.30
167,Eindhoven,NL,46862,0.48,0.72,-0.23,2.38,0.29
40,Agedrup,DK,28888,0.37,0.70,-0.32,2.27,0.29
254,Ostrava,CZ,10773,0.41,0.75,-0.34,4.08,0.29
215,Herzogenrath,DE,10611,0.41,0.72,-0.31,2.98,0.28
542,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",PT,78561,0.40,0.80,-0.40,2.93,0.28
52,Schrevenborn,DE,30831,0.39,0.74,-0.35,2.47,0.27
105,Amsterdam,NL,118069,0.37,0.74,-0.36,3.09,0.27
511,Tarbes,FR,10135,0.39,0.80,-0.41,3.53,0.27
92,Warszawa,PL,215132,0.38,0.76,-0.38,3.06,0.26
190,Stadtbezirk 1,DE,60697,0.37,0.75,-0.37,2.36,0.26
195,Częstochowa,PL,22807,0.34,0.75,-0.40,2.49,0.26
291,Košice,SK,26137,0.39,0.76,-0.36,3.83,0.26
614,Pozzuoli,IT,8698,0.20,0.69,-0.47,1.02,0.25
383,Zürich,CH,108404,0.35,0.74,-0.38,2.55,0.24
394,Brașov,RO,15260,0.39,0.78,-0.38,3.63,0.24
354,Wals-Siezenheim,AT,22097,0.37,0.74,-0.37,2.60,0.24
493,Rimini,IT,12875,0.27,0.76,-0.48,2.59,0.23
377,Kecskemét,HU,7060,0.39,0.79,-0.40,3.90,0.23
135,Heepen,DE,33988,0.41,0.74,-0.33,2.68,0.23
691,Siracusa,IT,7248,0.44,0.82,-0.37,2.76,0.22
103,Steglitz-Zehlendorf,DE,23271,0.43,0.73,-0.30,2.26,0.22
243,Arras,FR,13721,0.40,0.79,-0.39,2.18,0.22
385,Seiersberg-Pirka,AT,37891,0.36,0.77,-0.40,2.58,0.22
10,Tallinn,EE,53703,0.36,0.75,-0.39,3.10,0.22
97,Poznań,PL,76575,0.37,0.74,-0.36,2.75,0.21
111,Lotte,DE,22438,0.36,0.73,-0.37,1.97,0.21
507,Pau,FR,16948,0.40,0.79,-0.38,2.48,0.21
37,Vilnius,LT,59377,0.41,0.73,-0.32,3.51,0.20
102,"Innenstadt, Frankfurt (Oder)",DE,10614,0.37,0.76,-0.38,2.99,0.20
296,Metz,FR,24360,0.41,0.77,-0.36,2.43,0.20
400,Sibiu,RO,11733,0.39,0.72,-0.31,2.39,0.20
436,Bergamo,IT,41833,0.37,0.69,-0.31,0.74,0.20
210,Opole,PL,10781,0.40,0.75,-0.35,2.55,0.19
456,Grenoble,FR,41199,0.31,0.78,-0.46,2.56,0.19
137,Ridderkerk,NL,11878,0.40,0.74,-0.32,3.14,0.19
562,Santo António dos Olivais,PT,10597,0.43,0.80,-0.36,2.25,0.19
252,Bielsko-Biała,PL,20271,0.39,0.72,-0.33,2.98,0.19
541,Gulpilhares e Valadares,PT,1629,0.45,0.73,-0.28,2.27,0.18
109,Hannover,DE,74297,0.38,0.69,-0.30,1.94,0.17
537,Perugia,IT,10192,0.34,0.76,-0.42,1.15,0.17
348,Angers,FR,34264,0.38,0.77,-0.39,3.29,0.16
154,Paderborn,DE,17656,0.42,0.79,-0.36,2.37,0.16
58,Sankt Gertrud,DE,27337,0.41,0.75,-0.33,2.72,0.16
423,Annecy,FR,18974,0.36,0.78,-0.41,2.61,0.15
327,Satu Mare,RO,7320,0.41,0.68,-0.24,1.17,0.15
125,Magdeburg,DE,31525,0.36,0.72,-0.35,2.20,0.15
2,,,40340,0.45,0.75,-0.29,2.64,0.14
209,Heerlen,NL,33805,0.48,0.70,-0.21,2.10,0.14
219,Chemnitz,DE,29082,0.40,0.75,-0.35,2.09,0.14
73,Leeuwarden,NL,17829,0.46,0.74,-0.27,2.60,0.14
205,Leuven,BE,13103,0.41,0.71,-0.30,2.65,0.14
310,Stuttgart-Mitte,DE,82906,0.33,0.70,-0.36,1.20,0.14
194,Gent,BE,32208,0.38,0.74,-0.36,3.04,0.13
517,Aix-en-Provence,FR,11673,0.37,0.75,-0.38,2.36,0.13
223,Stadtbezirk Bonn,DE,76628,0.38,0.75,-0.36,1.88,0.12
494,Avignon,FR,16854,0.40,0.77,-0.36,2.25,0.12
247,Hradec Králové,CZ,13111,0.41,0.75,-0.33,1.47,0.11
342,Debrecen,HU,17689,0.33,0.75,-0.43,1.91,0.11
673,Lefkoşa Türk Belediyesi,CY,35247,0.47,0.76,-0.28,2.11,0.11
621,Bellizzi,IT,5715,0.27,0.61,-0.28,0.16,0.10
470,Parma,IT,14297,0.43,0.71,-0.27,2.92,0.10
292,Saarbrücken,DE,22495,0.35,0.75,-0.39,2.09,0.10
258,Innenstadt 1,DE,92731,0.32,0.75,-0.42,2.27,0.10
251,Pardubice,CZ,14610,0.44,0.76,-0.32,2.08,0.10
339,Thalheim bei Wels,AT,9401,0.48,0.76,-0.27,1.80,0.10
279,Žilina,SK,13582,0.36,0.76,-0.39,2.54,0.10
256,Nowy Sącz,PL,8382,0.37,0.77,-0.39,1.86,0.10
357,Budapest,HU,126353,0.32,0.76,-0.44,2.56,0.09
198,Monheim am Rhein,DE,19829,0.39,0.75,-0.35,1.50,0.09
410,Saint-Julien-en-Genevois,CH,42421,0.31,0.76,-0.45,1.80,0.09
486,Savona,IT,6826,0.23,0.69,-0.42,2.31,0.09
448,Rijeka,HR,13335,0.45,0.78,-0.32,1.43,0.08
459,Cremona,IT,6138,0.40,0.56,-0.10,1.58,0.08
366,Székesfehérvár,HU,8636,0.35,0.77,-0.41,2.40,0.08
183,Wrocław,PL,84720,0.36,0.74,-0.38,1.72,0.08
314,Vaihingen,DE,15182,0.43,0.68,-0.25,1.32,0.07
72,Cork,IE,23710,0.34,0.73,-0.38,1.31,0.07
176,Brugge,BE,16755,0.39,0.75,-0.35,1.90,0.07
153,'s-Hertogenbosch,NL,27697,0.40,0.73,-0.32,1.63,0.07
373,Wittenbach,CH,15012,0.36,0.75,-0.38,0.51,0.07
246,Lahnstein,DE,21275,0.32,0.75,-0.42,1.29,0.07
214,Maastricht,NL,17720,0.45,0.74,-0.29,2.07,0.06
540,Perpignan,FR,19354,0.36,0.76,-0.39,1.54,0.06
44,Cathair na Gaillimhe,IE,11379,0.46,0.76,-0.30,1.49,0.06
286,Brno,CZ,44612,0.39,0.75,-0.35,2.03,0.06
515,Ancona,IT,8262,0.25,0.81,-0.56,0.96,0.06
492,La Spezia,IT,9131,0.26,0.67,-0.38,0.71,0.05
165,Göttingen,DE,23816,0.45,0.76,-0.30,1.83,0.05
302,Lappersdorf,DE,23461,0.43,0.77,-0.33,2.20,0.05
196,Hilden,DE,40603,0.40,0.75,-0.34,2.00,0.05
453,Milano,IT,227228,0.30,0.73,-0.43,0.69,0.05
107,Deventer,NL,10753,0.45,0.70,-0.23,1.85,0.05
42,Jürgensby,DE,15383,0.47,0.76,-0.29,1.66,0.05
530,"Braga (Maximinos, Sé e Cividade)",PT,13681,0.39,0.76,-0.37,0.67,0.04
475,Reggio Emilia,IT,14628,0.37,0.67,-0.28,1.41,0.04
322,Nyíregyháza,HU,7507,0.43,0.77,-0.34,2.84,0.04
270,Darmstadt-Nord,DE,19932,0.39,0.67,-0.26,1.94,0.04
174,Duisburg-Mitte,DE,21045,0.36,0.72,-0.34,1.32,0.03
163,Brackel,DE,12288,0.44,0.76,-0.31,1.76,0.03
202,Kortrijk,BE,15371,0.38,0.68,-0.29,1.40,0.03
9,Sørås,NO,38661,0.31,0.72,-0.41,2.06,0.03
698,Il-Gudja,MT,33320,0.38,0.78,-0.40,1.94,0.03
372,Szombathely,HU,7494,0.42,0.76,-0.34,1.35,0.03
695,Μουρνιές,GR,7588,0.38,0.74,-0.35,2.11,0.03
287,Altstadt,DE,20830,0.40,0.73,-0.32,1.60,0.02
510,Firenze,IT,35854,0.35,0.80,-0.44,1.54,0.02
266,Aschaffenburg,DE,9107,0.43,0.77,-0.34,2.42,0.02
675,Δήμος Λάρνακας,CY,13875,0.52,0.78,-0.25,2.67,0.02
242,Plauen,DE,9763,0.37,0.69,-0.32,1.35,0.02
158,Roosendaal,NL,10369,0.46,0.73,-0.25,3.80,0.02
146,Nijmegen,NL,25946,0.43,0.74,-0.31,2.05,0.02
104,Wolfsburg,DE,16991,0.42,0.75,-0.32,1.84,0.02
121,Hildesheim,DE,12133,0.45,0.75,-0.29,1.59,0.02
24,Borås,SE,12148,0.38,0.72,-0.34,1.40,0.02
299,Banská Bystrica,SK,12554,0.31,0.76,-0.45,1.48,0.02
502,Pesaro,IT,6687,0.27,0.66,-0.37,0.57,0.01
481,Bologna,IT,34622,0.34,0.79,-0.43,0.83,0.01
352,Stephanskirchen,DE,10790,0.35,0.76,-0.40,1.22,0.01
335,Bratislava,SK,44589,0.34,0.77,-0.42,2.66,0.01
420,Lugano,CH,11325,0.37,0.77,-0.39,1.44,0.01
141,Zwijndrecht,NL,36376,0.47,0.73,-0.24,2.14,0.01
269,Bamberg,DE,13548,0.42,0.75,-0.32,0.78,0.01
334,Neu-Ulm,DE,28210,0.36,0.74,-0.37,1.77,0.01
212,Jena-Zentrum,DE,14672,0.39,0.68,-0.28,0.56,0.01
596,Bari,IT,14855,0.26,0.79,-0.53,1.93,0.01
696,Νέα Αλικαρνασσός,GR,15776,0.41,0.77,-0.36,1.52,0.01
173,Venlo,NL,16042,0.42,0.71,-0.28,0.84,0.01
391,Bern,CH,32338,0.39,0.73,-0.33,0.26,0.01
155,Breda,NL,22573,0.46,0.73,-0.26,1.50,0.00
200,Stadtbezirk III,DE,26814,0.42,0.73,-0.30,0.89,0.00
444,Brescia,IT,30497,0.31,0.73,-0.39,0.16,0.00
136,Arnhem,NL,34009,0.37,0.73,-0.35,1.79,0.00
404,Lausanne,CH,35880,0.38,0.78,-0.40,1.64,0.00
435,Treviso,IT,9625,0.39,0.75,-0.36,0.81,0.00
384,Zug,CH,12492,0.42,0.75,-0.30,1.07,0.00
106,Almelo,NL,12097,0.51,0.73,-0.19,2.41,0.00
616,Toledo,ES,6514,0.38,0.76,-0.35,0.88,0.00
615,Matera,IT,6198,0.37,0.69,-0.28,0.42,0.00
321,Nitra,SK,11481,0.32,0.75,-0.43,2.47,0.00
108,Hilversum,NL,13066,0.37,0.71,-0.33,0.66,0.00
386,Biel/Bienne,CH,11045,0.37,0.73,-0.35,0.24,0.00
586,Latina,IT,7678,0.43,0.66,-0.18,0.00,0.00
114,Leiden,NL,41658,,0.76,,0.00,0.00
96,Zwolle,NL,22466,0.51,0.74,-0.22,1.75,0.00
123,Den Haag,NL,77602,,0.72,,0.00,0.00
561,Ajaccio,FR,4279,0.39,0.77,-0.35,0.28,0.00
552,Gironès,ES,14994,0.29,0.72,-0.39,0.15,0.00
388,Luzern,CH,28740,0.39,0.75,-0.35,1.23,0.00
393,Fribourg - Freiburg,CH,12458,0.39,0.74,-0.33,0.45,0.00
98,Haarlem,NL,26256,0.37,0.72,-0.34,0.49,0.00
630,Setúbal (São Sebastião),PT,7883,0.42,0.80,-0.38,2.31,0.00
623,Lecce,IT,10685,0.41,0.74,-0.32,0.65,0.00
159,Tilburg,NL,33597,0.44,0.74,-0.28,1.90,0.00
349,Győr,HU,9309,0.37,0.77,-0.40,0.93,0.00
694,Ragusa,IT,6693,0.39,0.77,-0.35,0.58,0.00
369,Winterthur,CH,22573,0.42,0.70,-0.27,0.31,0.00
688,Λεμεσός,CY,23885,0.49,0.76,-0.26,1.24,0.00
684,Costa del Sol Occidental,ES,9369,0.34,0.71,-0.34,0.72,0.00
683,Costa del Sol Occidental,ES,6617,0.30,0.73,-0.41,0.14,0.00
682,Costa del Sol Occidental,ES,11307,0.34,0.72,-0.35,1.16,0.00
371,Baden,CH,16389,0.35,0.68,-0.32,0.48,0.00
678,Ασπρόχωμα,GR,7061,0.34,0.65,-0.27,0.95,0.00
27,Søholt,DK,27344,,0.73,,0.00,0.00
375,Aarau,CH,14545,0.45,0.66,-0.18,1.27,0.00
28,Liepāja,LV,7999,0.48,0.75,-0.27,2.23,0.00
33,Rætebøl,DK,43410,,0.72,,0.00,0.00
333,Vannes,FR,11030,,0.76,,0.00,0.00
661,el Baix Segura / La Vega Baja,ES,11263,0.37,0.76,-0.38,2.25,0.00
648,la Marina Baixa,ES,8795,0.27,0.73,-0.44,0.06,0.00
325,Ergolding,DE,14757,0.38,0.74,-0.36,1.08,0.00
382,Aldrans,AT,17080,0.37,0.74,-0.35,0.11,0.00
640,Cosenza,IT,8783,0.32,0.73,-0.37,0.08,0.00
80,Assen,NL,17162,0.46,0.72,-0.24,0.35,0.00
91,Alkmaar,NL,14689,0.45,0.73,-0.28,0.72,0.00
318,Böblingen,DE,18289,0.41,0.75,-0.33,0.96,0.00
398,La Rochelle,FR,15189,,0.75,,0.00,0.00
396,Thun,CH,11930,0.39,0.72,-0.32,0.47,0.00
467,Asti,IT,5505,0.39,0.78,-0.38,1.93,0.00
218,Düren,DE,8904,0.38,0.71,-0.33,0.62,0.00
418,Trento,IT,14946,0.33,0.77,-0.43,0.50,0.00
479,Santiago,ES,11764,0.39,0.77,-0.38,0.88,0.00
232,Gießen,DE,14823,0.45,0.75,-0.29,1.79,0.00
421,Pordenone / Pordenon,IT,10823,0.36,0.75,-0.37,0.60,0.00
278,Uttenreuth (VGem),DE,21599,0.44,0.73,-0.29,0.90,0.00
276,Alzingen,LU,24607,0.31,0.75,-0.44,0.43,0.00
469,Ferrara,IT,12890,0.39,0.77,-0.37,1.44,0.00
468,Alessandria,IT,5417,0.41,0.77,-0.32,1.48,0.00
249,Cherbourg,FR,12857,,0.78,,0.00,0.00
487,Велико Търново,BG,5618,0.41,0.76,-0.35,1.23,0.00
257,Hanau,DE,13253,0.36,0.72,-0.35,0.35,0.00
458,Pavia,IT,7255,0.36,0.78,-0.40,0.52,0.00
262,Biebrich,DE,24056,0.37,0.75,-0.38,1.22,0.00
263,Schweinfurt,DE,15096,0.41,0.75,-0.33,0.25,0.00
273,Mitte-Gartenfeld,DE,15624,0.37,0.76,-0.37,0.82,0.00
264,Altstadt,DE,32775,0.34,0.75,-0.40,1.16,0.00
432,Como,IT,18481,0.31,0.67,-0.35,0.29,0.00
267,"Gartenstadt, Wendelhöfen",DE,13096,0.44,0.77,-0.33,1.40,0.00
447,Verona,IT,17137,0.43,0.79,-0.35,1.48,0.00
297,Böckingen,DE,18075,0.36,0.71,-0.35,0.55,0.00
414,Ljubljana,SI,36493,0.39,0.72,-0.33,1.15,0.00
160,Bergen op Zoom,NL,10306,0.46,0.68,-0.21,1.05,0.00
513,Pisa,IT,17389,0.34,0.72,-0.37,0.57,0.00
443,Vicenza,IT,10068,0.40,0.74,-0.33,0.72,0.00
535,Toulon,FR,15897,,0.75,,0.00,0.00
1,,,22036,0.41,0.71,-0.28,1.26,0.00
312,Mitte,DE,17764,0.39,0.77,-0.37,1.26,0.00
525,Draguignan,FR,9016,,0.77,,0.00,0.00
520,Grasse,FR,16630,,0.72,,0.00,0.00
519,Grasse,FR,10125,,0.78,,0.00,0.00
401,Klagenfurt,AT,13957,0.46,0.77,-0.30,1.74,0.00
403,Sântuhalm,RO,5564,0.38,0.60,-0.06,0.52,0.00
512,Split,HR,13574,0.40,0.76,-0.35,0.95,0.00
489,Forlì,IT,8191,0.37,0.67,-0.28,0.89,0.00
405,Bolzano - Bozen,IT,7495,0.34,0.78,-0.41,1.29,0.00
192,Neuss,DE,19420,0.38,0.73,-0.34,1.20,0.00
407,Montreux,CH,9780,0.34,0.74,-0.38,0.64,0.00
506,Prato,IT,20100,0.33,0.76,-0.42,0.83,0.00
408,Pécs,HU,12121,0.39,0.76,-0.37,1.02,0.00
197,Mechelen,BE,10672,0.34,0.73,-0.38,0.41,0.00
306,Ludwigsburg,DE,20233,0.43,0.70,-0.27,0.45,0.00
411,Roanne,FR,10766,0.39,0.71,-0.31,0.82,0.00
491,Bayonne,FR,18509,,0.78,,0.00,0.00
364,Verwaltungsgemeinschaft Konstanz,DE,13660,0.40,0.74,-0.33,0.51,0.00
