country,n_cities,accommodation_nearest_m_median,accommodation_nearest_m_q1,accommodation_nearest_m_q3,active_life_nearest_m_median,active_life_nearest_m_q1,active_life_nearest_m_q3,arts_and_entertainment_nearest_m_median,arts_and_entertainment_nearest_m_q1,arts_and_entertainment_nearest_m_q3,attractions_and_activities_nearest_m_median,attractions_and_activities_nearest_m_q1,attractions_and_activities_nearest_m_q3,business_and_services_nearest_m_median,business_and_services_nearest_m_q1,business_and_services_nearest_m_q3,eat_and_drink_nearest_m_median,eat_and_drink_nearest_m_q1,eat_and_drink_nearest_m_q3,education_nearest_m_median,education_nearest_m_q1,education_nearest_m_q3,health_and_medical_nearest_m_median,health_and_medical_nearest_m_q1,health_and_medical_nearest_m_q3,public_services_nearest_m_median,public_services_nearest_m_q1,public_services_nearest_m_q3,religious_nearest_m_median,religious_nearest_m_q1,religious_nearest_m_q3,retail_nearest_m_median,retail_nearest_m_q1,retail_nearest_m_q3,accommodation_count_400m_median,accommodation_count_400m_q1,accommodation_count_400m_q3,active_life_count_400m_median,active_life_count_400m_q1,active_life_count_400m_q3,arts_and_entertainment_count_400m_median,arts_and_entertainment_count_400m_q1,arts_and_entertainment_count_400m_q3,attractions_and_activities_count_400m_median,attractions_and_activities_count_400m_q1,attractions_and_activities_count_400m_q3,business_and_services_count_400m_median,business_and_services_count_400m_q1,business_and_services_count_400m_q3,eat_and_drink_count_400m_median,eat_and_drink_count_400m_q1,eat_and_drink_count_400m_q3,education_count_400m_median,education_count_400m_q1,education_count_400m_q3,health_and_medical_count_400m_median,health_and_medical_count_400m_q1,health_and_medical_count_400m_q3,public_services_count_400m_median,public_services_count_400m_q1,public_services_count_400m_q3,religious_count_400m_median,religious_count_400m_q1,religious_count_400m_q3,retail_count_400m_median,retail_count_400m_q1,retail_count_400m_q3,street_furn_nearest_m_median,street_furn_nearest_m_q1,street_furn_nearest_m_q3,parking_nearest_m_median,parking_nearest_m_q1,parking_nearest_m_q3,transport_nearest_m_median,transport_nearest_m_q1,transport_nearest_m_q3,hill_q0_richness_median,hill_q0_richness_q1,hill_q0_richness_q3,hill_q1_shannon_median,hill_q1_shannon_q1,hill_q1_shannon_q3,hill_q2_simpson_median,hill_q2_simpson_q1,hill_q2_simpson_q3,betweenness_median,betweenness_q1,betweenness_q3,network_density_median,network_density_q1,network_density_q3,cycles_median,cycles_q1,cycles_q3,harmonic_closeness_median,harmonic_closeness_q1,harmonic_closeness_q3,green_nearest_m_median,green_nearest_m_q1,green_nearest_m_q3,trees_nearest_m_median,trees_nearest_m_q1,trees_nearest_m_q3,green_area_400m_median,green_area_400m_q1,green_area_400m_q3,trees_area_400m_median,trees_area_400m_q1,trees_area_400m_q3,building_height_m_median,building_height_m_q1,building_height_m_q3,building_area_m2_median,building_area_m2_q1,building_area_m2_q3,building_compactness_median,building_compactness_q1,building_compactness_q3,building_volume_m3_median,building_volume_m3_q1,building_volume_m3_q3,floor_area_ratio_median,floor_area_ratio_q1,floor_area_ratio_q3,block_coverage_ratio_median,block_coverage_ratio_q1,block_coverage_ratio_q3,pop_density_per_km2_median,pop_density_per_km2_q1,pop_density_per_km2_q3,employment_rate_median,employment_rate_q1,employment_rate_q3,age_under15_pct_median,age_under15_pct_q1,age_under15_pct_q3,age_15to64_pct_median,age_15to64_pct_q1,age_15to64_pct_q3,age_over65_pct_median,age_over65_pct_q1,age_over65_pct_q3,male_pct_median,male_pct_q1,male_pct_q3,female_pct_median,female_pct_q1,female_pct_q3
PT,8,628.19775,546.9473724365234,787.1595306396484,374.50888,355.10128021240234,487.60265350341797,634.68585,604.5102081298828,842.2126159667969,538.7716,390.9424285888672,696.6904754638672,154.22128,143.2915382385254,177.51079940795898,246.90295,225.65414810180664,290.6982955932617,370.08887,335.4083023071289,539.1148681640625,366.20145,325.1192321777344,569.3549194335938,425.8253,397.96094512939453,543.8960266113281,611.0727,557.2821502685547,801.0045928955078,225.38666,203.6813621520996,266.4293746948242,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.75,7.75,2.0,1.0,2.5,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,3.0,1.75,3.5,610.73334,579.2313690185547,906.5208129882812,912.578369140625,833.7391357421875,1015.2173461914062,252.90152,189.43140029907227,289.4527130126953,5.0,4.0,6.0,3.8695326,3.3955830931663513,4.223798036575317,3.087789,2.844953715801239,3.297674238681793,97.0,76.5,116.25,66.0,49.75,79.0,40.5,25.0,57.25,0.34564847,0.2582702860236168,0.42721886932849884,58.55997276306152,43.93490409851074,71.92296028137207,91.15975952148438,77.65734481811523,108.8795280456543,0.18341967,0.15766824781894684,0.2031838744878769,0.017335977,0.012019380228593946,0.025661172810941935,5.581249952316284,4.520833253860474,6.199013352394104,146.8742,133.98199272155762,154.16226959228516,0.51692843,0.5165646970272064,0.5447004288434982,775.805908203125,725.5288696289062,928.3559417724609,190.13624572753906,176.5004997253418,231.6355743408203,0.2150372788310051,0.1949784755706787,0.24858130887150764,2561.0226987029178,1864.3362309633562,3313.364248970623,0.4261554517926275,0.42086173197065363,0.44531189349645117,0.1326026318423343,0.12590282936393538,0.13654730131411313,0.6476093246592094,0.6367959688771694,0.6657635097160246,0.2265101423450943,0.19784111585049388,0.23245199552428986,0.47353175487008936,0.47118368530726196,0.4762975555727054,0.5264682451299108,0.5237024444272945,0.528816314692738
CZ,8,585.06274,501.9456787109375,629.273681640625,364.95544,346.1312789916992,375.341552734375,523.57697,496.3251190185547,544.7179412841797,430.0819,407.24388122558594,492.57850646972656,135.02121,126.2510986328125,147.06765365600586,291.17206,276.92332458496094,300.87437438964844,351.7665,311.7434310913086,360.5221710205078,373.4681,351.7839889526367,428.77723693847656,389.6131,364.26773834228516,408.76107025146484,785.9287,734.2335357666016,819.6340179443359,197.88399,193.34037017822266,216.82817840576172,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.75,10.25,1.5,1.0,2.0,1.0,0.75,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,206.64914,187.3999481201172,263.33614349365234,818.5523071289062,747.2701110839844,906.03759765625,273.53265,268.18955993652344,280.5749969482422,6.0,5.0,6.0,3.974134,3.7439032793045044,4.065131187438965,3.0679202,2.9843389987945557,3.2306987047195435,167.0,149.0,198.25,103.0,95.0,117.0,78.5,73.5,100.0,0.52992564,0.4948100075125694,0.6040744781494141,82.47903823852539,68.34894943237305,101.71930694580078,39.998321533203125,38.3315372467041,44.396321296691895,0.2349888,0.17711945623159409,0.2449110969901085,0.06674271,0.05113597307354212,0.07720238901674747,5.8216376304626465,5.3125001192092896,6.3099424839019775,107.61397,102.8799057006836,132.3017349243164,0.53586185,0.5311838388442993,0.5422823876142502,807.9030456542969,665.4620361328125,1051.09423828125,209.4755096435547,172.04774856567383,268.3390808105469,0.1779901385307312,0.17252681776881218,0.18467407673597336,3004.686150515917,2795.6803274175563,3535.474029048078,0.5286726236750414,0.5203731210691063,0.5362851368051529,0.150882657281729,0.14773593507324326,0.15234931880759564,0.6489964506877228,0.6410255653180164,0.6528209460962558,0.19574316472828152,0.1874031229775042,0.20701776888445525,0.48646787514663936,0.47999470066009986,0.49381354703031743,0.5135321248533606,0.5061864529696826,0.5200052993399001
SE,7,520.7443,503.1128692626953,562.6992492675781,408.9082,392.6449279785156,451.3862609863281,685.56226,654.4783630371094,738.7973937988281,477.8467,400.2721405029297,598.8198852539062,178.24635,164.91300201416016,227.48443603515625,394.54056,342.11354064941406,418.1787567138672,406.7588,373.14820861816406,474.1437225341797,530.4612,477.73912048339844,544.9189147949219,375.77197,373.2983093261719,483.09539794921875,735.84503,651.1588745117188,752.4169616699219,340.8562,314.95848083496094,354.5290222167969,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,322.68597,305.8043518066406,593.1089477539062,801.006103515625,785.8560180664062,824.595458984375,284.74115,269.7030334472656,321.9173278808594,5.0,3.5,5.0,3.667657,3.025423526763916,3.7990097999572754,2.9999995,2.678362488746643,3.061156392097473,166.0,151.5,200.0,101.0,94.0,119.0,77.0,69.0,101.5,0.5087252,0.479279100894928,0.6116155087947845,54.01797103881836,50.70613479614258,71.18088912963867,80.56877899169922,72.5864486694336,129.41581344604492,0.33775264,0.2553020566701889,0.43653522431850433,0.026263265,0.014350255019962788,0.03467597346752882,6.0,5.671428680419922,6.333333492279053,139.58864,130.19954681396484,160.9198226928711,0.5301659,0.5085923969745636,0.5339256525039673,919.05029296875,878.6825561523438,1254.7891235351562,237.15283203125,223.38241577148438,316.4740295410156,0.16596940159797668,0.1474403664469719,0.18417540192604065,2596.643543269184,2049.9862112718733,3128.7066354035505,0.5055570193318872,0.4708295025344188,0.5173493360532486,0.17344454147638805,0.1670108010630637,0.18139722890004745,0.641402382222753,0.6366752977017529,0.663325723155691,0.16495158722348646,0.15761605604164347,0.1874730249852245,0.500650122903327,0.499216075345435,0.5019959385432438,0.49925377180097014,0.4977812576192724,0.5006467763820441
RO,7,464.19916,405.7668151855469,476.54640197753906,411.13477,350.49903869628906,426.4169616699219,483.87988,471.6048889160156,523.3908386230469,396.7849,352.6127471923828,505.7646026611328,117.835175,112.01316833496094,150.58867645263672,316.5503,279.44189453125,338.77423095703125,356.451,323.3006896972656,412.33921813964844,283.11377,265.6175842285156,349.8914794921875,417.49316,398.0555419921875,454.08924865722656,535.3745,495.408935546875,558.0156860351562,205.8262,178.2931900024414,243.80795288085938,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,6.0,12.0,1.0,1.0,1.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.5,631.73456,581.9234924316406,685.8770751953125,681.4335327148438,591.6605224609375,794.1909484863281,343.35065,316.45079040527344,452.60960388183594,6.0,4.5,6.5,3.8389301,3.3946458101272583,4.161760687828064,2.9195712,2.7642041444778442,3.17808198928833,89.0,75.0,100.5,68.0,57.0,69.0,39.0,31.0,42.5,0.34087738,0.29715773463249207,0.34947478771209717,101.58654022216797,85.62785339355469,165.05330276489258,107.2917709350586,45.064430236816406,153.7573699951172,0.16787103,0.1013050228357315,0.21081730723381042,0.00897527,0.004771985579282045,0.04371635802090168,5.666666507720947,4.791666746139526,6.776785850524902,153.26224,144.33546447753906,161.9159698486328,0.53915256,0.5288703441619873,0.5430803000926971,1012.0318603515625,827.5515747070312,1273.8248291015625,270.52508544921875,211.0810775756836,323.89476013183594,0.23502438515424728,0.21520837396383286,0.24877872690558434,3772.4535999982427,2385.345815895018,4159.466053327206,0.4864427603992289,0.46763561263977627,0.5002516909947986,0.14688803439029552,0.1409310286987156,0.15438087078967688,0.6421772184985142,0.6363824020849763,0.6626982427619832,0.20190732050583457,0.1902044035974686,0.2153591660853946,0.4705019450934757,0.46605447389046784,0.47219724118582246,0.5294980549065242,0.5278027588141776,0.5339455261095322
AT,6,643.0312,534.5363616943359,686.3790588378906,414.86157,400.061279296875,419.00370025634766,578.1156,553.3894805908203,612.4736175537109,556.0332,517.4706420898438,569.7787170410156,158.78722,148.07040405273438,167.9059295654297,317.15622,312.2235870361328,349.4830093383789,482.36508,447.46146392822266,511.0321960449219,368.31485,362.77466583251953,375.47753143310547,431.63022,392.95892333984375,461.8153991699219,652.7542,616.5497589111328,699.5538330078125,254.68561,250.17086791992188,268.9723892211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,304.22565,285.43421936035156,313.89778900146484,583.2625122070312,489.5853042602539,620.0724487304688,253.84105,248.82504653930664,256.61508560180664,5.0,5.0,5.0,3.6194324,3.4210773706436157,3.668019652366638,2.8490186,2.7805697917938232,2.917669951915741,133.5,119.25,146.25,86.0,81.0,91.75,58.5,54.25,63.5,0.43913314,0.40975919365882874,0.46461309492588043,93.20157623291016,88.241455078125,93.73191833496094,66.13363647460938,60.33595275878906,72.0371322631836,0.15068373,0.0929624643176794,0.2013806253671646,0.023558464,0.008338095154613256,0.034005630761384964,7.0,6.572727203369141,7.315789699554443,139.21906,130.15935134887695,149.14640426635742,0.55858916,0.5560184121131897,0.5602835863828659,963.52880859375,954.7896118164062,1343.1885986328125,247.73159790039062,239.23895263671875,346.813720703125,0.22253169119358063,0.2160082757472992,0.2357795685529709,2769.1060488804746,2528.787603661429,2899.031527422679,0.5003505598026547,0.49204743639589194,0.505325169061249,0.1337248184111547,0.12845051630246523,0.1386074448735574,0.6616515290247819,0.6585921028923343,0.673453925772435,0.19247271557790577,0.18545217052271598,0.2038586760466115,0.48789928246222203,0.4800354055917113,0.4918113641359484,0.5114711339680872,0.5080284917261713,0.5179569743545425
SK,6,575.1459,558.1508331298828,621.71826171875,309.77863,292.55663299560547,367.6434631347656,452.83673,417.85953521728516,544.0373840332031,499.13123,455.9020690917969,502.75245666503906,136.08424,132.90599060058594,162.78808212280273,258.68076,255.31669998168945,285.7696990966797,336.85925,301.0924758911133,384.2959442138672,368.51788,339.38680267333984,448.6780471801758,406.6454,353.4267272949219,461.6674499511719,750.729,726.0621032714844,756.0384521484375,189.28116,183.47490310668945,228.52220153808594,0.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.75,8.75,1.5,1.0,2.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,4.5,2.5,5.0,418.59644,245.49392700195312,460.5516891479492,614.9701232910156,535.52392578125,731.2854766845703,259.05444,246.21840286254883,264.77366638183594,6.0,5.25,6.75,4.1312885,3.7532134652137756,4.489002585411072,3.1351347,2.999999523162842,3.3098750710487366,178.5,146.0,189.25,116.5,93.75,125.0,101.5,68.0,114.0,0.62350595,0.48334870487451553,0.6579384058713913,80.35283279418945,60.277915954589844,99.98906898498535,60.40786361694336,47.72977638244629,66.7579345703125,0.15061504,0.14171310886740685,0.17067960649728775,0.04450973,0.034475302323699,0.05440538562834263,6.977335214614868,6.310924530029297,7.372596383094788,104.488434,94.03537368774414,113.93917655944824,0.5235791,0.5196518748998642,0.5292048901319504,760.1844177246094,742.1235198974609,929.5551605224609,193.59776306152344,188.91491317749023,242.71773529052734,0.17623727023601532,0.16682841628789902,0.19234689697623253,3406.540512496388,2409.2871711914017,3856.619756248194,0.49570665111656165,0.4922877937767538,0.5097179373086841,0.14032290815104123,0.1385927255951355,0.14913767427073538,0.6513933832032379,0.6450197953359504,0.6526254120058022,0.2045928984975736,0.19254649757867198,0.21099205743743232,0.47917583638921324,0.476444976792758,0.4805921507672172,0.5208241636107868,0.5194078492327829,0.523555023207242
HR,5,415.3802,247.29940795898438,436.7872314453125,365.78076,305.691162109375,396.4674987792969,530.04645,464.74078369140625,557.2927856445312,400.8529,373.98907470703125,441.577392578125,141.7348,124.24436950683594,143.8705291748047,251.0071,216.41539001464844,265.1544494628906,375.29437,306.19354248046875,408.7390441894531,319.09564,316.6992492675781,444.93438720703125,350.69434,314.72052001953125,459.6751708984375,622.9421,568.63671875,629.8827514648438,226.01993,185.77005004882812,235.7205810546875,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,10.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,519.57336,373.2125549316406,581.740966796875,846.3731689453125,758.1302490234375,877.5557861328125,286.5022,251.7954864501953,287.6615905761719,6.0,6.0,7.0,4.462161,4.1815643310546875,4.650373458862305,3.521739,3.3872227668762207,3.6571428775787354,126.0,113.0,130.0,77.0,75.0,84.0,48.0,47.0,61.0,0.39077932,0.3906719982624054,0.4351954460144043,106.52743530273438,97.6773452758789,113.20552062988281,52.20311737060547,39.768310546875,77.95736694335938,0.20967351,0.14961209893226624,0.21394726634025574,0.035119746,0.016570638865232468,0.04468575119972229,6.636363506317139,5.0,7.05555534362793,139.07086,135.1386260986328,140.58505249023438,0.57220334,0.5703529119491577,0.5779998302459717,904.2031860351562,692.523681640625,989.90576171875,242.39292907714844,176.67132568359375,256.6545104980469,0.21086983382701874,0.18966563045978546,0.22362379729747772,3473.1537831221403,2996.6061718887586,4873.089200340349,0.42968502389940255,0.42743446875535784,0.4422073753412231,0.1452093012697362,0.13322913239638762,0.14988508246691976,0.6424654599568284,0.633938760995174,0.6453388251073272,0.20373856411231756,0.201505056647435,0.2215265574444989,0.46960793926087663,0.46686349788387493,0.4747958536175191,0.5306916165647405,0.5247057458998274,0.5329729116131198
GR,4,383.12512,329.4712257385254,415.59901428222656,296.1385,260.5531692504883,349.19761657714844,447.23328,408.50989532470703,509.2199478149414,458.6496,417.13084411621094,498.3328323364258,155.67282,133.958251953125,182.32225036621094,229.99498,221.16097259521484,241.9125747680664,292.48383,277.2658920288086,311.58387756347656,404.04846,377.46803283691406,413.3517379760742,457.06335,427.78649139404297,492.92095947265625,553.3003,513.3234252929688,598.9212341308594,181.62271,172.01140594482422,204.0374984741211,0.5,0.0,1.25,1.0,0.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.5,8.5,2.5,2.0,3.25,1.0,1.0,1.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.75,5.0,661.02875,643.6441802978516,704.3245849609375,885.9248046875,825.9862670898438,909.7236328125,343.3697,251.48258590698242,442.3461608886719,6.5,5.75,7.0,4.56919,4.341744899749756,4.7102004289627075,3.6278913,3.575238347053528,3.7141215205192566,156.5,145.25,172.5,95.0,91.0,101.0,73.0,66.25,81.0,0.48447078,0.4520347937941551,0.5229164138436317,57.38352584838867,53.279680252075195,110.9481029510498,69.69157409667969,57.62787628173828,113.99564361572266,0.13937803,0.0727250687777996,0.20735925063490868,0.010824791,0.003421723027713597,0.02464237716048956,5.299999952316284,4.931818127632141,5.524999976158142,145.05307,131.64517974853516,157.79983520507812,0.5628098,0.5582084804773331,0.5639116317033768,828.7957763671875,764.5554504394531,880.9502868652344,197.95899200439453,188.58928298950195,204.42816543579102,0.20992961525917053,0.1996750608086586,0.22828450053930283,2804.8582941903733,2517.544940001804,3576.1910083815055,0.4073821133310459,0.3886980124697125,0.42287296033261407,0.16273882414715746,0.15657038871197573,0.16755828080602803,0.6602123790425787,0.6568259656526989,0.6649330911237051,0.17488488572102717,0.16686831682748582,0.18236106476613906,0.4846626170116786,0.48417457054817203,0.4854472430176179,0.5143182744283066,0.5137599349377237,0.5147715470378156
FI,4,752.079,692.5018768310547,831.1170196533203,478.81354,436.16197967529297,519.857177734375,738.02167,706.1469879150391,755.9638519287109,411.73267,393.19385528564453,453.0692443847656,229.03175,202.89334106445312,254.84860229492188,427.34393,420.6803207397461,452.2340850830078,603.08795,551.8710250854492,635.5723876953125,564.44244,519.5454635620117,610.4537353515625,524.6217,464.2258529663086,586.9680480957031,775.53955,762.1746368408203,807.5639953613281,377.4179,356.39656829833984,397.8614807128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.5,2.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,369.8043,346.5396423339844,428.85206604003906,786.0628967285156,774.8979949951172,814.2979431152344,241.65826,232.05797958374023,251.5999984741211,3.5,3.0,4.0,2.9142137,2.803779900074005,3.0924805402755737,2.560606,2.411108136177063,2.7058823704719543,187.5,155.5,230.25,107.5,94.5,124.5,87.0,72.0,107.75,0.5576027,0.49438178539276123,0.6408236473798752,42.66910171508789,30.335986614227295,49.70426368713379,72.99945068359375,66.04791641235352,91.3019962310791,0.3620871,0.33388687670230865,0.39448268711566925,0.024915257,0.02104003820568323,0.03105950728058815,5.426470518112183,5.1397058963775635,5.824999928474426,136.23337,126.33189964294434,150.1319808959961,0.5237421,0.5170888602733612,0.5305167734622955,844.6694030761719,810.4945220947266,948.4489440917969,211.65541076660156,200.68921279907227,237.29703903198242,0.1367715299129486,0.13212152756750584,0.14649247750639915,1907.40158056743,1784.8574682592537,2178.0549546123416,0.43109581299408706,0.41226689640409026,0.44453328063777475,0.14429510054812805,0.12994924460256863,0.1579022404181491,0.640681158512447,0.625761003168547,0.655071838713501,0.1947318352949447,0.17624732854681927,0.2199698886199154,0.48500458077925424,0.48199302823833656,0.4868616071762214,0.5138294550976503,0.5133892851777239,0.516062868347483
DK,4,607.578,561.7177429199219,663.1837615966797,424.26608,403.8888397216797,431.8505554199219,691.1837,650.134521484375,694.9266357421875,486.27063,455.653564453125,510.85144805908203,187.63855,174.61594009399414,195.3831024169922,446.6703,418.2315139770508,462.09639739990234,431.84933,412.7268600463867,445.40411376953125,414.82178,378.67903900146484,443.92572021484375,397.89172,374.9729537963867,419.6897888183594,726.3981,695.9513854980469,762.9755401611328,309.03836,291.8283157348633,322.32643127441406,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,4.25,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.25,384.37683,354.5764923095703,423.56615447998047,799.0382690429688,732.1857452392578,864.3147735595703,305.745,294.3329162597656,327.21038818359375,4.5,4.0,5.25,3.6157486,3.4308658242225647,3.853820264339447,2.975882,2.8762627243995667,3.124361515045166,170.5,168.75,177.25,101.5,99.75,105.0,77.0,76.0,79.5,0.5174979,0.5139829963445663,0.5309303551912308,105.6295280456543,97.35003662109375,126.18085289001465,70.55470657348633,65.5234603881836,73.45907402038574,0.15958424,0.14741243049502373,0.17567605897784233,0.038188636,0.033795468509197235,0.043040855787694454,5.0,4.958333253860474,5.275669574737549,98.33336,79.73145294189453,120.0441951751709,0.51140714,0.5087407976388931,0.5154753476381302,641.2245788574219,599.1044616699219,687.7225646972656,158.81307220458984,145.22501754760742,176.3992576599121,0.20658966898918152,0.199505053460598,0.2141677662730217,2034.5854430656286,1768.155964685484,2457.2119180350664,0.4807501609166905,0.47554383510428677,0.48717237079427633,0.15780601465884156,0.1556102258033614,0.16344585123566616,0.6616018097919791,0.6513679667107488,0.6754654502678661,0.1689994604943172,0.16002782805872806,0.1731811277856011,0.49556385602659264,0.4941829218398207,0.4986826876769166,0.5044361439734073,0.5013173123230834,0.5058170781601793
NO,3,722.56177,693.033447265625,723.4898681640625,450.73212,444.12391662597656,503.6305236816406,675.0446,666.4242248535156,704.7511291503906,507.51517,496.27064514160156,518.6093292236328,203.8689,194.3982391357422,220.79638671875,538.3976,531.417236328125,573.95458984375,412.86786,407.8015899658203,435.8148498535156,487.4402,479.7110900878906,511.385986328125,503.9565,488.5308532714844,550.8299407958984,759.71173,721.413330078125,780.8971252441406,334.62662,313.58351135253906,371.40818786621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,362.52014,355.241943359375,397.42559814453125,661.1904296875,622.3089904785156,748.6312866210938,318.81235,299.00779724121094,327.51527404785156,4.0,3.5,4.0,3.0,2.793204665184021,3.184330463409424,2.631579,2.3575899600982666,2.7046782970428467,163.0,135.5,202.5,95.0,83.0,113.0,68.0,55.5,89.5,0.48805922,0.4314524084329605,0.5743648707866669,78.04945373535156,73.24640655517578,83.10405731201172,57.623409271240234,51.855384826660156,66.33270072937012,0.244075,0.24256885051727295,0.6589445769786835,0.03269636,0.026859043166041374,0.04303858056664467,5.0,4.914285659790039,5.177083492279053,94.24292,88.2284927368164,97.73048400878906,0.5527457,0.5521949827671051,0.5553319752216339,515.9528198242188,476.1189880371094,529.5679016113281,117.76124572753906,108.48672866821289,123.283203125,0.18300476670265198,0.1828954964876175,0.20325839519500732,2289.732435724608,2184.092318557653,2410.6785745116067,0.504940996171825,0.5031307003749875,0.5063977401375805,0.1869080036185526,0.18119181048575414,0.18842510702580706,0.6605756300334765,0.6593936980598938,0.6606090678473848,0.14945686326382124,0.1470603167462363,0.1513396457909969,0.5003536320604355,0.4996425368775475,0.5027390595864709,0.49964636793956446,0.497260940413529,0.5003574631224524
CY,3,744.169,716.6728515625,748.9714660644531,354.39148,336.5124206542969,365.4748840332031,546.98663,536.6207580566406,569.8780212402344,546.20166,540.3857421875,589.4686279296875,177.37376,163.39636993408203,178.0736312866211,315.44885,309.012939453125,325.96568298339844,300.39966,299.15313720703125,322.1170654296875,358.9518,346.6500549316406,367.8074188232422,532.2528,482.6205749511719,560.1459655761719,680.07104,675.974365234375,715.9446411132812,247.48392,235.61509704589844,252.7415008544922,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,649.10236,625.4721984863281,728.145751953125,299.43359375,271.7729949951172,326.3009796142578,249.7766,239.73060607910156,257.2302780151367,5.0,5.0,5.5,4.0630975,3.9280506372451782,4.092072010040283,3.266788,3.225499153137207,3.31946861743927,157.0,156.5,159.5,93.0,92.5,94.5,63.0,62.5,64.0,0.452123,0.4489269256591797,0.458303302526474,171.69058227539062,163.80491638183594,179.5762481689453,197.3122901916504,160.44547080993652,234.17910957336426,0.076249614,0.03812480717897415,0.09042452275753021,0.001193979,0.0005969895282760262,0.004074188880622387,4.7272725105285645,4.5997474193573,5.940559387207031,183.45737,171.22137451171875,195.78337860107422,0.5540699,0.5535756349563599,0.5543771982192993,926.6505737304688,858.9343872070312,1212.2057189941406,223.37551879882812,203.47181701660156,304.8961944580078,0.2508169263601303,0.2462281659245491,0.2554056867957115,2654.495985863329,2497.491232146075,2834.0411943153804,0.44838981252336274,0.44678142112966596,0.4509673750782808,0.14897234706959578,0.14167522652159928,0.15299191023504954,0.689669066985275,0.6848187020103765,0.6899676543618775,0.15891975369208536,0.1525623876252637,0.1714375672883392,0.4814095435110557,0.4772635567532757,0.48357927864616385,0.5187484008680168,0.5151835657933552,0.5227508199382496
